Bild,Gruenanteil Skript 1,Gruenanteil Skript 2,Gruenanteil Skript 3,Gruenanteil Mittelwert Skript 1 bis 3,Gruenanteil STABW Skript 1 bis 3,Gruenanteil Schnittmenge Skript 1 u. Skript 2,,Braunanteil Skript 1,Braunanteil Skript 3,Braunanteil Mittelwert Skript 1 und 3,Braunanteil STABW Skript 1 und 3,,Waldanteil Skript 4,Waldanteil Skript 5,Waldanteil Skript 6,Waldanteil Mittelwert Skript 4 bis 6,Waldanteil STABW Skript 4 bis 6,,Anteil gruener Wald Skript 7,Anteil gruene Wiese Skript 7
YUN00001.jpg,0.41677022417153997,0.46626918859649125,0.15160714285714286,0.34488218520839137,0.16920097034796616,0.3376066033138402,,0.19786945662768032,0.33901785714285715,0.2684436568852687,0.09980699115791632,,,,,,,,,
YUN00002.jpg,0.5963876705653022,0.5598135964912281,0.3434375,0.49987958901884344,0.136711415529314,0.5269508406432749,,0.1763310185185185,0.32151785714285713,0.24892443783068782,0.1026625981303068,,,,,,,,,
YUN00003.jpg,0.8131335282651072,0.8014711257309941,0.5604910714285715,0.7250319084748909,0.14261580627737064,0.7835465399610136,,0.06287463450292398,0.145,0.10393731725146199,0.05807140285040616,,,,,,,,,
YUN00004.jpg,0.38735836988304095,0.48431408382066277,0.031160714285714285,0.300944389329806,0.23861585468386326,0.34612725389863547,,0.11069231237816764,0.1535267857142857,0.13210954904622668,0.03028854656452345,,,,,,,,,
YUN00005.jpg,0.6228831627680312,0.5361217714424952,0.22816964285714286,0.4623915256892231,0.20742903016270225,0.4851653874269006,,0.2294742933723197,0.6125892857142857,0.4210317895433027,0.2709032090592364,,,,,,,,,
YUN00006.jpg,0.4632401315789474,0.5231755604288499,0.16473214285714285,0.38371594495498007,0.19199867992716507,0.40226912768031187,,0.17617872807017543,0.39236607142857144,0.28427239974937346,0.15286753649542634,,,,,,,,,
YUN00007.jpg,0.6387518274853801,0.5432124147173489,0.3300892857142857,0.5040178426390048,0.15801994188535676,0.4961592348927875,,0.2148239522417154,0.6512053571428571,0.4330146546922863,0.3085682505893098,,,,,,,,,
YUN00008.jpg,0.6412905092592592,0.6673611111111111,0.275625,0.5280922067901235,0.21903124651184966,0.5585800438596491,,0.11623568469785575,0.4080357142857143,0.262135699491785,0.20633377967200997,,,,,,,,,
Mittelwert ueber alle Bilder,,,,0.4686194490131579,0.18295286816569847,,,,,0.2692336880612991,0.1536877893148919,,,,,0.0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,
