Bild,Gruenanteil Skript 1,Gruenanteil Skript 2,Gruenanteil Skript 3,Gruenanteil Mittelwert Skript 1 bis 3,Gruenanteil STABW Skript 1 bis 3,Gruenanteil Schnittmenge Skript 1 u. Skript 2,,Braunanteil Skript 1,Braunanteil Skript 3,Braunanteil Mittelwert Skript 1 und 3,Braunanteil STABW Skript 1 und 3,,Waldanteil Skript 4,Waldanteil Skript 5,Waldanteil Skript 6,Waldanteil Mittelwert Skript 4 bis 6,Waldanteil STABW Skript 4 bis 6,,Anteil gruener Wald Skript 7,Anteil gruene Wiese Skript 7,,Bild,Temperatur gruener Vegetation (Durchschnitt pro Bild),Temperatur nicht gruener Vegetation (Durchschnitt pro Bild),Temperatur brauner Vegetation (Durchschnitt pro Bild),Temperatur nicht brauner Vegetation (Durchschnitt pro Bild),Temperatur Wald (Durchschnitt pro Bild),Temperatur Nicht Wald (Durchschnitt pro Bild),Durchschnittstemperatur gesamtbild,STD Temperatur gruener Vegetation (STD pro Bild),STD Temperatur nicht gruener Vegetation (STD pro Bild),std Temperatur brauner Vegetation (std pro Bild),std nicht brauner Vegetation (std pro Bild),std temp Wald (std pro Bild),std Temperatur Nicht Wald (std pro Bild),STD Gesamtbild,Temperaturbereich Grün (pro Bild),Temperaturbereich Braun (pro Bild),Temperaturbereich Wald (pro Bild),Temperaturbereich All (pro Bild)
YUN00001.jpg,0.5797118664717349,0.5579404239766081,0.4471428571428571,0.5282650491970667,0.0710922390971033,0.5388584307992202,,0.09141843323586744,0.23892857142857143,0.16517350233221945,0.10430541900982573,,,,,,,,,,,YUN00001.jpg,26.48060271378984,21.398367378520586,21.246028161530287,24.20489894907033,21.506384926621866,31.52000000000001,23.91486796875,4.830025966374564,1.1232882314525265,1.250538722488796,4.4320843442896996,0.6575887861620746,7.105427357601002e-15,4.3180143351978355,20.6 °C bis 31.520000000000003 °C,19.625 °C bis 31.520000000000003 °C,19.625 °C bis 22.94 °C,19.625 °C bis 31.520000000000003 °C
YUN00002.jpg,0.7162737573099415,0.7025097465886939,0.6199553571428571,0.6795796203471642,0.05209272089050464,0.6878700657894737,,0.07483248050682262,0.13508928571428572,0.10496088311055417,0.04260799557483403,,,,,,,,,,,YUN00002.jpg,24.647678545133267,20.91433250266999,20.959714285714288,23.753937762825906,21.751090456113452,31.52,23.5552859375,4.11724530592766,0.5193869268612874,1.369747600762972,3.924461953703675,0.8474678362517153,3.552713678800501e-15,3.867228978600473,19.82 °C bis 31.520000000000003 °C,19.82 °C bis 31.520000000000003 °C,19.82 °C bis 22.745 °C,19.82 °C bis 31.520000000000003 °C
YUN00003.jpg,0.8413285818713451,0.8199287280701755,0.7791517857142857,0.8134696985519354,0.03158762086367461,0.8119045443469786,,0.04428149366471735,0.0765625,0.060421996832358674,0.022826118483204268,,,,,,,,,,,YUN00003.jpg,24.577168893129777,21.680288793103447,22.67361818181818,24.11400081632653,22.22868973561431,31.519999999999996,24.052109375,3.884090653583377,1.4172428089532074,3.0892799248716325,3.7510514049327988,0.6543043967064458,7.105427357601002e-15,3.736468286184444,19.82 °C bis 31.520000000000003 °C,20.405 °C bis 31.520000000000003 °C,19.82 °C bis 22.94 °C,19.82 °C bis 31.520000000000003 °C
YUN00004.jpg,0.9817312378167641,0.9416164108187135,0.9477232142857143,0.9570236209737306,0.021614185381197144,0.9414519371345029,,0.02587414717348928,0.16357142857142856,0.09472278787245891,0.09736668142743511,,,,,,,,,,,YUN00004.jpg,22.074813197221637,21.720255102040817,21.73961756373938,22.077404096142626,21.61028896050691,31.52,22.071193750000003,2.212641686262243,0.6021985114294509,0.6274182076442976,2.2208468592020436,0.7210833415184097,3.552713678800501e-15,2.2024480991951747,19.82 °C bis 31.520000000000003 °C,20.6 °C bis 22.745 °C,19.82 °C bis 22.745 °C,19.82 °C bis 31.520000000000003 °C
YUN00005.jpg,0.6264909234892787,0.44061433966861596,0.47,0.5123684210526316,0.099919159474446,0.43173276072124755,,0.3420793737816764,0.7360714285714286,0.5390754011765525,0.27859445367545554,,,,,,,,,,,YUN00005.jpg,22.931052397868562,22.31628391793514,22.247736280487807,22.954836956521742,21.957441945254658,31.520000000000003,22.64076640625,2.896319206312833,2.023612872163541,1.579348315827803,3.0657281439023385,0.6464618115908027,0.0,2.5407571757062333,20.405 °C bis 31.520000000000003 °C,20.405 °C bis 31.520000000000003 °C,19.82 °C bis 22.745 °C,19.82 °C bis 31.520000000000003 °C
YUN00006.jpg,0.597150645711501,0.44164686890838206,0.3400892857142857,0.45962893344472294,0.1294706595512911,0.4156935307017544,,0.2768046418128655,0.6099107142857143,0.44335767804928994,0.23554156269996893,,,,,,,,,,,YUN00006.jpg,22.104679368482604,21.429060856919122,21.61691079051965,21.884969372128637,21.431243181940925,31.520000000000007,21.790129687500002,2.4683406322008437,1.2274369561203577,1.0450286966772735,2.3825930471449572,0.7749569017679366,3.552713678800501e-15,2.0177001136953314,19.625 °C bis 31.520000000000003 °C,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00007.jpg,0.6926809210526316,0.6159630847953217,0.5723214285714285,0.626988478139794,0.06093251456639092,0.603421966374269,,0.08181195175438596,0.19361607142857143,0.1377140115914787,0.07905745118620884,,,,,,,,,,,YUN00007.jpg,19.27450847103116,18.296012970969738,19.22508013937282,19.010977765268787,19.008061134004485,31.533448275862067,19.0269796875,1.2516505099842716,1.2591062103231694,1.313258048098223,1.323294151559575,1.23206515389539,0.04941212067338488,1.3237445890682247,16.7 °C bis 31.520000000000003 °C,16.7 °C bis 22.745 °C,16.7 °C bis 22.745 °C,16.7 °C bis 31.715000000000003 °C
YUN00008.jpg,0.9376248781676413,0.8806012426900585,0.9178125,0.9120128736192332,0.028950829010365577,0.8699865984405458,,0.0428453947368421,0.1653125,0.10407894736842105,0.08659732060386567,,,,,,,,,,,YUN00008.jpg,21.222082352296994,20.624765208110997,21.031730000000003,21.197242245989308,21.082578038637678,31.519999999999996,21.192932031250002,1.2583525007567078,0.4572439574833685,0.43306703534210395,1.252278085256708,0.6304842310584755,7.105427357601002e-15,1.2381198261775792,19.625 °C bis 31.520000000000003 °C,20.6 °C bis 21.77 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
Mittelwert ueber alle Bilder,,,,0.6861670869157848,0.06195749110437166,,,,,0.20618815104166666,0.11836212533259978,,,,,0.0,0.0,,0.0,0.0,,Durchschnitt Datensatz,22.914073242369234,21.04742084128373,21.342554425397804,22.399783495534237,21.321972297336785,31.52168103448276,22.28053310546875,2.8648333076753123,1.0786895593483636,1.3384608189641376,2.794042248748975,0.7705515573689062,0.006176515084177107,2.6555601754781617,,,,
,,,,,,,,,,,,,,,,,,,,,,STABW Datensatz,2.2665403470898227,1.2246661018220677,1.0392448173638007,1.7581594572906782,0.9964701777279922,0.004754683528667021,1.674049843778667,1.322124619838565,0.5332141297291437,0.8057082575600322,1.1945525443249194,0.2009507886177009,0.017469822800477607,1.183727955371578,,,,
